"","month","position","artist","album","indicativerevenue","us","uk","de","fr","ca","au"
"1","Jan 2000",1,"Celine Dion","All The Way... A Decade Of Songs",10326.939,"1","4","1","-","2","1"
"2","Jan 2000",2,"Santana","Supernatural",8028.114,"1","37","3","15","4","2"
"3","Jan 2000",3,"Britney Spears","Baby One More Time",7769.903,"3","2","8","4","-","16"
"4","Jan 2000",4,"Shania Twain","Come On Over",7575.665,"7","1","19","6","4","2"
"5","Jan 2000",5,"The Backstreet Boys","Millennium",6996.635,"2","36","34","-","5","28"
"6","Jan 2000",6,"Christina Aguilera","Christina Aguilera",6757.261,"4","45","65","75","9","-"
"7","Jan 2000",7,"Mariah Carey","Rainbow",6153.591,"8","42","40","11","-","37"
"8","Jan 2000",8,"Metallica & the San Francisco Symphony","S&M",6122.613,"13","94","2","30","-","8"
"9","Jan 2000",9,"Dr Dre","Dr. Dre -- 2001",6090.947,"5","54","21","50","7","-"
"10","Jan 2000",10,"DMX","...And Then There Was X",5802.882,"1","-","46","-","6","-"
"11","Jan 2000",11,"Will Smith","Willennium",5481.522,"9","19","53","26","-","30"
"12","Jan 2000",12,"Various Artists","Now 3",5064.143,"4","-","-","-","-","-"
"13","Jan 2000",13,"Andrea Bocelli","Sacred Arias",5059.673,"22","28","3","5","9","7"
"14","Jan 2000",14,"Korn","Issues",5018.269,"10","100","26","-","-","5"
"15","Jan 2000",15,"Savage Garden","Affirmation",4929.185,"19","41","68","-","8","2"
"16","Jan 2000",16,"Ricky Martin","Ricky Martin",4724.07,"19","39","24","-","-","9"
"17","Jan 2000",17,"2Pac & Outlawz","Still I Rise",4656.347,"6","75","24","-","-","-"
"18","Jan 2000",18,"Lou Bega","A Little Bit Of Mambo",4536.694,"17","-","100","22","10","30"
"19","Jan 2000",19,"Eiffel 65","Europop",4517.852,"8","-","37","10","6","-"
"20","Jan 2000",20,"Limp Bizkit","Significant Other",4450.195,"11","-","72","-","5","17"
"21","Jan 2000",21,"The Dixie Chicks","Fly",4386.435,"11","-","-","-","-","-"
"22","Jan 2000",22,"Red Hot Chili Peppers","Californication",4372.415,"46","23","20","45","-","5"
"23","Jan 2000",23,"Destiny's Child","The Writing's On The Wall",4245.078,"20","58","52","48","-","-"
"24","Jan 2000",24,"Kid Rock","Devil Without A Cause",4241.033,"10","-","-","-","-","-"
"25","Jan 2000",25,"Notorious BIG","Born Again",4148.573,"14","-","47","-","-","-"
"26","Jan 2000",26,"blink-182","Enema Of The State",4051.922,"12","-","-","-","-","11"
"27","Jan 2000",27,"Jay-Z","Vol 3: Life & Times of S Carter",3971.314,"1","-","-","-","8","-"
"28","Jan 2000",28,"Juvenile","Tha G-Code",3920.426,"10","-","-","-","-","-"
"29","Jan 2000",29,"Macy Gray","On How Life Is",3856.517,"54","3","25","45","-","1"
"30","Jan 2000",30,"Jennifer Lopez","On The 6",3796.471,"46","49","33","61","-","42"
"31","Jan 2000",31,"Enrique Iglesias","Enrique",3791.295,"35","-","15","51","9","41"
"32","Jan 2000",32,"Kenny G","Faith: A Holiday Album",3735.883,"6","-","-","-","-","-"
"33","Jan 2000",33,"Beastie Boys","Beastie Boys Anthology: The Sounds Of Science",3705.522,"35","54","64","-","-","18"
"34","Jan 2000",34,"Faith Hill","Breathe",3697.137,"15","-","-","-","-","-"
"35","Jan 2000",35,"Rage Against The Machine","The Battle Of Los Angeles",3645.95,"26","-","53","-","-","12"
"36","Jan 2000",36,"Sisqo","Unleash The Dragon",3570.492,"14","-","67","-","-","-"
"37","Jan 2000",37,"Whitney Houston","My Love Is Your Love",3570.186,"83","18","20","18","-","-"
"38","Jan 2000",38,"George Michael","Songs From The Last Century",3512.501,"157","3","5","7","-","17"
"39","Jan 2000",39,"Sting","Brand New Day",3462.193,"53","26","35","12","-","-"
"40","Jan 2000",40,"Various Artists","Totally Hits",3438.415,"24","-","-","-","-","-"
"41","Jan 2000",41,"Creed","Human Clay",3405.825,"25","-","-","-","-","-"
"42","Jan 2000",42,"Alanis Morissette","MTV Unplugged",3207.173,"81","56","9","43","-","-"
"43","Jan 2000",43,"Brian McKnight","Back At One",3190.457,"30","-","-","-","-","-"
"44","Jan 2000",44,"Juvenile","400 Degreez",3120.436,"25","-","-","-","-","-"
"45","Jan 2000",45,"Charlotte Church","Charlotte Church",3042.109,"40","15","-","-","-","41"
"46","Jan 2000",46,"Smash Mouth","Astro Lounge",3034.117,"31","-","-","-","-","49"
"47","Jan 2000",47,"Tim McGraw","A Place In The Sun",2974.004,"32","-","-","-","-","-"
"48","Jan 2000",48,"Eric Clapton","Clapton Chronicles - The Best Of Eric Clapton",2877.215,"74","32","24","-","-","44"
"49","Jan 2000",49,"98 Degrees","98 Degrees And Rising",2835.341,"29","-","-","-","-","-"
"50","Jan 2000",50,"LFO","LFO",2790.833,"36","-","-","-","-","-"
"51","Feb 2000",1,"Santana","Supernatural",10495.508,"1","4","1","1","1","3"
"52","Feb 2000",2,"Celine Dion","All The Way... A Decade Of Songs",8588.05,"2","11","1","-","3","4"
"53","Feb 2000",3,"Dr Dre","Dr. Dre -- 2001",7567.616,"2","42","20","39","3","-"
"54","Feb 2000",4,"Shania Twain","Come On Over",6662.438,"15","2","19","4","8","5"
"55","Feb 2000",5,"Britney Spears","Baby One More Time",6505.209,"13","2","11","15","-","26"
"56","Feb 2000",6,"Christina Aguilera","Christina Aguilera",6457.093,"4","14","63","45","-","34"
"57","Feb 2000",7,"Eiffel 65","Europop",6383.175,"6","12","42","6","5","23"
"58","Feb 2000",8,"The Backstreet Boys","Millennium",5874.348,"9","20","24","-","9","28"
"59","Feb 2000",9,"DMX","...And Then There Was X",5539.893,"3","-","46","-","-","-"
"60","Feb 2000",10,"Macy Gray","On How Life Is",5374.997,"18","4","19","43","-","1"
"61","Feb 2000",11,"D'Angelo","Voodoo",4840.548,"1","21","-","57","7","-"
"62","Feb 2000",12,"Various Artists","Now 3",4785.935,"4","-","-","-","-","-"
"63","Feb 2000",13,"Red Hot Chili Peppers","Californication",4762.04,"39","23","7","31","-","2"
"64","Feb 2000",14,"Sisqo","Unleash The Dragon",4743.446,"10","67","69","-","-","-"
"65","Feb 2000",15,"Metallica & the San Francisco Symphony","S&M",4468.81,"18","100","2","65","-","10"
"66","Feb 2000",16,"Kid Rock","Devil Without A Cause",4442.98,"8","-","-","-","-","-"
"67","Feb 2000",17,"Savage Garden","Affirmation",4425.447,"15","69","78","-","-","2"
"68","Feb 2000",18,"Enigma","The Screen Behind The Mirror",4353.452,"33","10","2","16","-","44"
"69","Feb 2000",19,"Jay-Z","Vol 3: Life & Times of S Carter",4218.028,"6","-","-","-","-","-"
"70","Feb 2000",20,"Mariah Carey","Rainbow",4210.575,"21","67","34","26","-","-"
"71","Feb 2000",21,"2Pac & Outlawz","Still I Rise",4169.933,"11","-","24","-","-","-"
"72","Feb 2000",22,"Destiny's Child","The Writing's On The Wall",4156.134,"16","85","55","72","-","-"
"73","Feb 2000",23,"The Dixie Chicks","Fly",4075.027,"12","-","-","-","-","-"
"74","Feb 2000",24,"blink-182","Enema Of The State",3814.284,"16","88","42","-","-","7"
"75","Feb 2000",25,"Limp Bizkit","Significant Other",3754.787,"17","-","65","-","-","17"
"76","Feb 2000",26,"Sting","Brand New Day",3735.056,"61","16","23","16","-","-"
"77","Feb 2000",27,"Lou Bega","A Little Bit Of Mambo",3623.746,"24","-","-","23","-","50"
"78","Feb 2000",28,"Enrique Iglesias","Enrique",3539.765,"34","-","17","-","7","41"
"79","Feb 2000",29,"Korn","Issues",3539.579,"25","-","30","-","-","12"
"80","Feb 2000",30,"Jagged Edge","J.E. Heartbreak",3450.919,"8","-","-","-","-","-"
"81","Feb 2000",31,"Creed","Human Clay",3445.996,"20","-","100","-","-","-"
"82","Feb 2000",32,"Faith Hill","Breathe",3400.81,"15","-","-","-","-","-"
"83","Feb 2000",33,"Original Soundtrack","Next Friday",3394.497,"19","-","-","-","-","-"
"84","Feb 2000",34,"Ricky Martin","Ricky Martin",3227.383,"34","71","48","-","-","24"
"85","Feb 2000",35,"Moby","Play",3125.261,"88","7","21","50","-","2"
"86","Feb 2000",36,"Brian McKnight","Back At One",3118.101,"26","-","-","-","-","-"
"87","Feb 2000",37,"Whitney Houston","My Love Is Your Love",3104.967,"78","30","27","38","-","-"
"88","Feb 2000",38,"Juvenile","Tha G-Code",3030.076,"24","-","-","-","-","-"
"89","Feb 2000",39,"Notorious BIG","Born Again",2951.698,"28","-","47","-","-","-"
"90","Feb 2000",40,"Various Artists","Totally Hits",2909.006,"27","-","-","-","-","-"
"91","Feb 2000",41,"Juvenile","400 Degreez",2773.923,"30","-","-","-","-","-"
"92","Feb 2000",42,"Lonestar","Lonely Grill",2754.14,"31","-","-","-","-","-"
"93","Feb 2000",43,"Jennifer Lopez","On The 6",2741.282,"55","74","51","-","-","-"
"94","Feb 2000",44,"The Lox","We Are The Streets",2740.983,"5","-","-","-","-","-"
"95","Feb 2000",45,"Eve","Let There Be... EVE--Ruff Ryders First Lady",2737.192,"36","-","-","-","-","-"
"96","Feb 2000",46,"Marc Anthony","Marc Anthony",2676.734,"41","-","53","-","-","-"
"97","Feb 2000",47,"Tim McGraw","A Place In The Sun",2665.57,"36","-","-","-","-","-"
"98","Feb 2000",48,"Andrea Bocelli","Sacred Arias",2648.357,"65","-","30","34","-","-"
"99","Feb 2000",49,"Will Smith","Willennium",2615.798,"35","70","-","74","-","-"
"100","Feb 2000",50,"Mandy Moore","So Real",2610.738,"34","-","-","-","-","-"
"101","Mar 2000",1,"Santana","Supernatural",12731.079,"1","1","1","1","1","1"
"102","Mar 2000",2,"Dr Dre","Dr. Dre -- 2001",8393.489,"2","17","23","59","3","-"
"103","Mar 2000",3,"Macy Gray","On How Life Is",7750.523,"6","3","20","24","2","1"
"104","Mar 2000",4,"Celine Dion","All The Way... A Decade Of Songs",7015.335,"3","16","10","-","6","13"
"105","Mar 2000",5,"Eiffel 65","Europop",6796.699,"4","12","60","7","7","18"
"106","Mar 2000",6,"Christina Aguilera","Christina Aguilera",6613.817,"3","14","77","44","-","26"
"107","Mar 2000",7,"Shania Twain","Come On Over",6055.894,"20","2","35","6","-","12"
"108","Mar 2000",8,"The Backstreet Boys","Millennium",5935.266,"10","15","24","-","-","14"
"109","Mar 2000",9,"Britney Spears","Baby One More Time",5898.902,"17","6","17","10","-","17"
"110","Mar 2000",10,"Red Hot Chili Peppers","Californication",5762.267,"23","22","6","31","-","3"
"111","Mar 2000",11,"Sisqo","Unleash The Dragon",5429.506,"6","49","-","-","-","-"
"112","Mar 2000",12,"Kid Rock","Devil Without A Cause",5230.131,"4","-","-","-","-","-"
"113","Mar 2000",13,"D'Angelo","Voodoo",5006.922,"4","48","68","-","-","-"
"114","Mar 2000",14,"DMX","...And Then There Was X",4957.326,"8","-","59","-","-","-"
"115","Mar 2000",15,"Destiny's Child","The Writing's On The Wall",4823.654,"10","47","-","-","-","-"
"116","Mar 2000",16,"blink-182","Enema Of The State",4710.143,"33","15","18","-","-","5"
"117","Mar 2000",17,"Sting","Brand New Day",4587.963,"29","16","9","29","-","-"
"118","Mar 2000",18,"The Dixie Chicks","Fly",4584.444,"8","-","-","-","-","-"
"119","Mar 2000",19,"Various Artists","Grammy Nominees 2000",4553.852,"9","-","-","-","1","-"
"120","Mar 2000",20,"The Smashing Pumpkins","Machina - The Machines Of God",4517.126,"3","7","4","4","2","2"
"121","Mar 2000",21,"Moby","Play",4429.944,"66","2","27","31","-","1"
"122","Mar 2000",22,"Savage Garden","Affirmation",4365.706,"23","31","78","-","-","4"
"123","Mar 2000",23,"AC/DC","Stiff Upper Lip",4343.251,"7","12","1","2","5","3"
"124","Mar 2000",24,"Creed","Human Clay",4168.146,"17","-","88","-","-","-"
"125","Mar 2000",25,"Various Artists","Now 3",4004.832,"11","-","-","-","-","-"
"126","Mar 2000",26,"Faith Hill","Breathe",3987.985,"15","-","76","-","-","-"
"127","Mar 2000",27,"Tracy Chapman","Telling Stories",3835.272,"33","92","5","10","-","33"
"128","Mar 2000",28,"Marc Anthony","Marc Anthony",3820.956,"18","-","57","-","-","-"
"129","Mar 2000",29,"The Cure","Bloodflowers",3812.936,"16","53","5","11","-","11"
"130","Mar 2000",30,"Limp Bizkit","Significant Other",3700.352,"25","-","50","-","-","28"
"131","Mar 2000",31,"Metallica & the San Francisco Symphony","S&M",3682.844,"42","100","6","-","-","24"
"132","Mar 2000",32,"Oasis","Standing On The Shoulder Of Giants",3671.85,"24","1","5","6","8","6"
"133","Mar 2000",33,"Mariah Carey","Rainbow",3510.263,"37","63","45","26","-","-"
"134","Mar 2000",34,"Snoop Dogg & Tha Eastsidaz","Snoop Dogg Presents Tha Eastsidaz",3489.165,"14","-","-","-","-","-"
"135","Mar 2000",35,"Jay-Z","Vol 3: Life & Times of S Carter",3485.276,"21","-","-","-","-","-"
"136","Mar 2000",36,"Jagged Edge","J.E. Heartbreak",3344.416,"24","-","-","-","-","-"
"137","Mar 2000",37,"Lou Bega","A Little Bit Of Mambo",3294.963,"27","-","-","47","-","-"
"138","Mar 2000",38,"Ricky Martin","Ricky Martin",3290.927,"45","27","58","-","-","42"
"139","Mar 2000",39,"Korn","Issues",3252.174,"37","-","50","-","-","-"
"140","Mar 2000",40,"Ghostface Killah","Supreme Clientele",3246.479,"7","-","75","-","-","-"
"141","Mar 2000",41,"Steely Dan","Two Against Nature",3224.591,"6","11","11","-","-","-"
"142","Mar 2000",42,"2Pac & Outlawz","Still I Rise",3048.05,"32","-","38","-","-","-"
"143","Mar 2000",43,"Phil Collins","Tarzan",3042.51,"44","-","29","67","-","-"
"144","Mar 2000",44,"Brian McKnight","Back At One",3007.464,"26","-","-","-","-","-"
"145","Mar 2000",45,"Tom Jones","Reload",2998.482,"-","3","3","9","-","37"
"146","Mar 2000",46,"Lonestar","Lonely Grill",2991.583,"31","-","-","-","-","-"
"147","Mar 2000",47,"The Lox","We Are The Streets",2971.773,"25","-","-","-","-","-"
"148","Mar 2000",48,"Bone Thugs-n-Harmony","BTNH Resurrection",2941.902,"2","-","87","-","-","-"
"149","Mar 2000",49,"Various Artists","Totally Hits",2898.269,"30","-","-","-","-","-"
"150","Mar 2000",50,"Enigma","The Screen Behind The Mirror",2875.954,"60","64","8","62","-","46"
"151","Apr 2000",1,"Santana","Supernatural",11582.16,"1","1","1","1","1","2"
"152","Apr 2000",2,"Macy Gray","On How Life Is",7725.231,"4","4","20","31","2","4"
"153","Apr 2000",3,"N Sync","No Strings Attached",7537.347,"1","14","7","-","1","3"
"154","Apr 2000",4,"Dr Dre","Dr. Dre -- 2001",7251.666,"3","15","35","72","4","-"
"155","Apr 2000",5,"Sisqo","Unleash The Dragon",6795.242,"2","16","-","-","9","-"
"156","Apr 2000",6,"Destiny's Child","The Writing's On The Wall",6130.691,"7","14","77","62","-","3"
"157","Apr 2000",7,"Red Hot Chili Peppers","Californication",5202.267,"22","37","10","58","-","4"
"158","Apr 2000",8,"Moby","Play",5123.009,"53","1","30","4","-","2"
"159","Apr 2000",9,"Shania Twain","Come On Over",5043.402,"31","5","51","7","-","13"
"160","Apr 2000",10,"Celine Dion","All The Way... A Decade Of Songs",5014.32,"14","16","33","-","-","25"
"161","Apr 2000",11,"Sting","Brand New Day",4923.07,"36","12","10","25","-","48"
"162","Apr 2000",12,"Bloodhound Gang","Hooray For Boobies",4896.901,"14","37","12","-","6","-"
"163","Apr 2000",13,"AC/DC","Stiff Upper Lip",4818.926,"22","54","3","11","10","9"
"164","Apr 2000",14,"The Backstreet Boys","Millennium",4759.511,"15","26","46","-","-","18"
"165","Apr 2000",15,"Kid Rock","Devil Without A Cause",4665.898,"8","-","-","-","-","-"
"166","Apr 2000",16,"Christina Aguilera","Christina Aguilera",4660.472,"10","59","-","-","-","26"
"167","Apr 2000",17,"blink-182","Enema Of The State",4609.849,"33","15","19","-","-","4"
"168","Apr 2000",18,"DMX","...And Then There Was X",4521.467,"10","-","-","-","-","-"
"169","Apr 2000",19,"Britney Spears","Baby One More Time",4471.201,"30","23","43","24","-","30"
"170","Apr 2000",20,"Bone Thugs-n-Harmony","BTNH Resurrection",4341.489,"5","-","-","-","-","-"
"171","Apr 2000",21,"Eiffel 65","Europop",4246.146,"17","85","78","24","-","22"
"172","Apr 2000",22,"The Dixie Chicks","Fly",4226.1,"12","-","-","-","-","-"
"173","Apr 2000",23,"Black Rob","Life Story",4081.345,"6","-","-","-","-","-"
"174","Apr 2000",24,"Creed","Human Clay",4047.501,"12","-","100","-","-","-"
"175","Apr 2000",25,"Pantera","Reinventing The Steel",4013.251,"4","33","18","21","8","2"
"176","Apr 2000",26,"Steely Dan","Two Against Nature",3983.516,"19","48","29","-","-","-"
"177","Apr 2000",27,"Ice Cube","War",3891.885,"3","-","-","-","-","-"
"178","Apr 2000",28,"The Smashing Pumpkins","Machina - The Machines Of God",3835.105,"27","58","9","44","-","12"
"179","Apr 2000",29,"George Strait","Latest Greatest Straitest Hits",3833.747,"9","-","-","-","-","-"
"180","Apr 2000",30,"Limp Bizkit","Significant Other",3774.633,"29","-","33","-","-","13"
"181","Apr 2000",31,"Savage Garden","Affirmation",3704.995,"36","20","93","-","-","7"
"182","Apr 2000",32,"Gerald Levert","G",3581.11,"13","-","-","-","-","-"
"183","Apr 2000",33,"Faith Hill","Breathe",3567.77,"19","-","78","-","-","-"
"184","Apr 2000",34,"Jay-Z","Vol 3: Life & Times of S Carter",3417.681,"15","-","-","-","-","-"
"185","Apr 2000",35,"Enrique Iglesias","Enrique",3399.813,"38","-","7","-","4","48"
"186","Apr 2000",36,"Various Artists","WWF: World Wrestling Federation -- Aggression",3333.833,"8","-","-","-","6","-"
"187","Apr 2000",37,"Marc Anthony","Marc Anthony",3283.764,"23","-","-","-","-","-"
"188","Apr 2000",38,"Original Soundtrack","Romeo Must Die",3263.273,"3","-","-","-","5","-"
"189","Apr 2000",39,"Various Artists","Grammy Nominees 2000",3165.457,"25","-","-","-","4","-"
"190","Apr 2000",40,"Tracy Chapman","Telling Stories",2955.903,"58","-","22","26","-","-"
"191","Apr 2000",41,"D'Angelo","Voodoo",2943.514,"26","-","99","-","-","-"
"192","Apr 2000",42,"Drama","Causin Drama",2935.356,"32","-","-","-","-","-"
"193","Apr 2000",43,"Three Doors Down","The Better Life",2897.643,"27","-","-","-","-","-"
"194","Apr 2000",44,"Korn","Issues",2884.57,"34","-","59","-","-","-"
"195","Apr 2000",45,"Metallica & the San Francisco Symphony","S&M",2857.324,"56","-","11","-","-","37"
"196","Apr 2000",46,"Beanie Sigel","The Truth",2821.727,"20","-","-","-","-","-"
"197","Apr 2000",47,"Ricky Martin","Ricky Martin",2753.693,"68","52","47","-","-","48"
"198","Apr 2000",48,"Various Artists","Now 3",2750.013,"28","-","-","-","-","-"
"199","Apr 2000",49,"Vertical Horizon","Everything You Want",2730.769,"40","-","-","-","-","-"
"200","Apr 2000",50,"Tom Jones","Reload",2708.381,"-","2","7","19","-","32"
"201","May 2000",1,"Santana","Supernatural",10212.513,"3","3","1","1","2","9"
"202","May 2000",2,"N Sync","No Strings Attached",9173.916,"1","79","16","-","1","8"
"203","May 2000",3,"Sisqo","Unleash The Dragon",7611.962,"3","15","54","-","8","36"
"204","May 2000",4,"Destiny's Child","The Writing's On The Wall",6955.001,"5","19","37","40","-","2"
"205","May 2000",5,"Dr Dre","Dr. Dre -- 2001",6647.904,"9","4","49","53","6","-"
"206","May 2000",6,"Toni Braxton","The Heat",6606.383,"2","3","3","9","1","14"
"207","May 2000",7,"Macy Gray","On How Life Is",6533.005,"10","18","40","46","3","3"
"208","May 2000",8,"Joe Thomas","My Name Is Joe",6363.151,"2","74","58","26","-","-"
"209","May 2000",9,"No Doubt","Return Of Saturn",6151.743,"2","90","5","30","4","15"
"210","May 2000",10,"Moby","Play",5493.019,"53","1","30","4","-","6"
"211","May 2000",11,"Cypress Hill","Skull & Bones",5397.919,"5","6","4","13","3","6"
"212","May 2000",12,"Bloodhound Gang","Hooray For Boobies",5206.255,"17","37","18","-","6","-"
"213","May 2000",13,"Red Hot Chili Peppers","Californication",5147.259,"22","34","25","-","-","5"
"214","May 2000",14,"Sting","Brand New Day",5146.099,"29","11","10","43","-","45"
"215","May 2000",15,"Creed","Human Clay",5094.042,"6","-","-","-","-","-"
"216","May 2000",16,"Kid Rock","Devil Without A Cause",4754.804,"10","-","91","-","-","-"
"217","May 2000",17,"Christina Aguilera","Christina Aguilera",4722.375,"6","81","-","-","-","33"
"218","May 2000",18,"Celine Dion","All The Way... A Decade Of Songs",4410.592,"22","58","60","-","-","28"
"219","May 2000",19,"DMX","...And Then There Was X",4409.976,"10","-","-","-","-","-"
"220","May 2000",20,"Shania Twain","Come On Over",4394.248,"42","8","92","11","-","10"
"221","May 2000",21,"Original Soundtrack","Romeo Must Die",4374.247,"6","-","-","-","8","15"
"222","May 2000",22,"The Dixie Chicks","Fly",4361.907,"9","-","-","-","-","-"
"223","May 2000",23,"Enrique Iglesias","Enrique",4323.708,"33","-","7","-","5","35"
"224","May 2000",24,"blink-182","Enema Of The State",4321.856,"38","30","29","-","-","4"
"225","May 2000",25,"Jay-Z","Vol 3: Life & Times of S Carter",4310.259,"10","-","-","-","-","-"
"226","May 2000",26,"Britney Spears","Baby One More Time",4299.291,"32","15","45","36","-","32"
"227","May 2000",27,"Faith Hill","Breathe",4119.275,"10","21","78","-","-","-"
"228","May 2000",28,"The Backstreet Boys","Millennium",4114.486,"17","75","71","-","-","36"
"229","May 2000",29,"Da Brat","Unrestricted",4056.223,"5","-","-","-","-","-"
"230","May 2000",30,"Limp Bizkit","Significant Other",4050.054,"29","-","31","-","-","8"
"231","May 2000",31,"Pink Floyd","Is There Anybody Out There? The Wall Live 1980-81",3748.64,"19","73","3","24","4","-"
"232","May 2000",32,"Neil Young","Silver & Gold",3717.911,"22","10","5","38","-","30"
"233","May 2000",33,"Big Punisher","Yeeeah Baby",3713.237,"8","-","-","-","-","-"
"234","May 2000",34,"Eiffel 65","Europop",3656.956,"23","-","65","42","-","31"
"235","May 2000",35,"Three Doors Down","The Better Life",3631.962,"17","-","-","-","-","-"
"236","May 2000",36,"Marc Anthony","Marc Anthony",3464.811,"23","-","-","-","8","-"
"237","May 2000",37,"Savage Garden","Affirmation",3455.809,"40","39","-","-","-","1"
"238","May 2000",38,"Eminem","The Slim Shady Lp",3437.43,"28","26","-","-","-","-"
"239","May 2000",39,"P!nk","Can't Take Me Home",3416.823,"29","75","85","-","-","-"
"240","May 2000",40,"Carl Thomas","Emotional",3338.738,"9","-","-","-","-","-"
"241","May 2000",41,"Ice Cube","War",3220.893,"18","-","-","-","-","-"
"242","May 2000",42,"Bone Thugs-n-Harmony","BTNH Resurrection",3118.35,"24","-","-","-","-","-"
"243","May 2000",43,"AC/DC","Stiff Upper Lip",3091.819,"58","-","6","17","-","30"
"244","May 2000",44,"Various Artists","WWF: World Wrestling Federation -- Aggression",3055.129,"23","-","-","-","-","-"
"245","May 2000",45,"George Strait","Latest Greatest Straitest Hits",3019.626,"32","-","-","-","-","-"
"246","May 2000",46,"Black Rob","Life Story",2897.208,"26","-","-","-","-","-"
"247","May 2000",47,"Drag-on","Opposite Of H2O",2846.504,"21","-","-","-","-","-"
"248","May 2000",48,"Tom Jones","Reload",2748.685,"-","1","10","27","-","20"
"249","May 2000",49,"Donell Jones","Where I Wanna Be",2731.479,"37","-","-","-","-","-"
"250","May 2000",50,"Lonestar","Lonely Grill",2695.933,"45","80","-","-","-","-"
"251","Jun 2000",1,"Britney Spears","Oops!... I Did It Again",10270.727,"1","3","1","1","1","2"
"252","Jun 2000",2,"Eminem","The Marshall Mathers LP",8557.441,"1","1","3","15","1","22"
"253","Jun 2000",3,"Santana","Supernatural",8313.936,"3","8","4","1","4","18"
"254","Jun 2000",4,"Whitney Houston","Whitney Houston's Greatest Hits",7256.566,"5","1","2","-","4","11"
"255","Jun 2000",5,"N Sync","No Strings Attached",6638.332,"1","-","60","-","3","27"
"256","Jun 2000",6,"Original Soundtrack","Mission: Impossible 2",6375.226,"2","-","31","-","1","5"
"257","Jun 2000",7,"Toni Braxton","The Heat",6161,"7","16","3","20","6","24"
"258","Jun 2000",8,"Pearl Jam","Binaural",6113.149,"2","14","4","34","2","1"
"259","Jun 2000",9,"Sisqo","Unleash The Dragon",5929.837,"4","34","54","65","-","31"
"260","Jun 2000",10,"Macy Gray","On How Life Is",5414.237,"11","24","50","72","5","7"
"261","Jun 2000",11,"Matchbox Twenty","Mad Season",5406.585,"3","31","11","-","3","1"
"262","Jun 2000",12,"Dr Dre","Dr. Dre -- 2001",5298.729,"14","8","58","61","-","-"
"263","Jun 2000",13,"Moby","Play",5255.125,"48","2","41","1","-","8"
"264","Jun 2000",14,"Creed","Human Clay",5035.076,"6","-","-","-","-","-"
"265","Jun 2000",15,"Destiny's Child","The Writing's On The Wall",5022.795,"12","43","45","50","-","6"
"266","Jun 2000",16,"Joe Thomas","My Name Is Joe",4901.429,"5","-","78","61","-","-"
"267","Jun 2000",17,"Sting","Brand New Day",4643.285,"29","18","15","43","-","-"
"268","Jun 2000",18,"Cypress Hill","Skull & Bones",4426.602,"15","58","8","37","10","25"
"269","Jun 2000",19,"Big Tymers","I Got That Work",4374.498,"3","-","-","-","-","-"
"270","Jun 2000",20,"Red Hot Chili Peppers","Californication",4305.146,"27","42","29","-","-","7"
"271","Jun 2000",21,"Three Doors Down","The Better Life",4018.24,"11","-","-","-","-","-"
"272","Jun 2000",22,"Don Henley","Inside Job",3999.538,"7","25","14","-","-","-"
"273","Jun 2000",23,"A Perfect Circle","Mer De Noms",3905.968,"4","55","55","-","5","2"
"274","Jun 2000",24,"Kid Rock","Devil Without A Cause",3855.024,"13","-","91","-","-","-"
"275","Jun 2000",25,"Eminem","The Slim Shady Lp",3765.556,"25","25","-","-","-","-"
"276","Jun 2000",26,"Shania Twain","Come On Over",3754.698,"45","11","-","9","-","19"
"277","Jun 2000",27,"504 Boyz","Goodfellas",3642.428,"8","-","-","-","-","-"
"278","Jun 2000",28,"Jay-Z","Vol 3: Life & Times of S Carter",3635.285,"16","-","-","-","-","-"
"279","Jun 2000",29,"Kid Rock","The History Of Rock",3615.27,"2","73","28","-","3","-"
"280","Jun 2000",30,"blink-182","Enema Of The State",3604.648,"48","29","39","-","-","10"
"281","Jun 2000",31,"Faith Hill","Breathe",3578.928,"10","21","-","-","-","-"
"282","Jun 2000",32,"The Dixie Chicks","Fly",3510.312,"9","-","-","-","-","-"
"283","Jun 2000",33,"Christina Aguilera","Christina Aguilera",3497.379,"20","100","-","-","-","49"
"284","Jun 2000",34,"Enrique Iglesias","Enrique",3494.584,"36","-","9","-","7","-"
"285","Jun 2000",35,"Limp Bizkit","Significant Other",3450.559,"34","-","37","-","-","14"
"286","Jun 2000",36,"DMX","...And Then There Was X",3449.679,"18","-","-","-","-","-"
"287","Jun 2000",37,"Marc Anthony","Marc Anthony",3287.082,"23","-","83","-","8","-"
"288","Jun 2000",38,"Britney Spears","Baby One More Time",3266.721,"52","29","73","45","-","-"
"289","Jun 2000",39,"Papa Roach","Infest",3251.068,"19","-","-","-","-","-"
"290","Jun 2000",40,"Celine Dion","All The Way... A Decade Of Songs",3239.003,"22","49","80","-","-","41"
"291","Jun 2000",41,"No Doubt","Return Of Saturn",3180.075,"24","-","47","-","-","35"
"292","Jun 2000",42,"Hans Zimmer & Lise Gerrard","Gladiator",3175.946,"66","17","20","37","-","28"
"293","Jun 2000",43,"Vitamin C","Vitamin C",3155.523,"29","-","-","-","-","-"
"294","Jun 2000",44,"Original Soundtrack","Romeo Must Die",3142.193,"25","-","11","-","-","15"
"295","Jun 2000",45,"Iron Maiden","Brave New World",3107.176,"39","7","3","3","-","33"
